"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "JSON with Comments", "TypeScript", "Markdown", "comment", "blank", "total"
"f:\assignments-java-traing\product-java-fullstack-training\JS\fibinoce\fibinouse.html", "HTML", 0, 0, 45, 0, 0, 0, 0, 3, 1, 49
"f:\assignments-java-traing\product-java-fullstack-training\JS\functions\sample.html", "HTML", 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"f:\assignments-java-traing\product-java-fullstack-training\JS\functions\work.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"f:\assignments-java-traing\product-java-fullstack-training\JS\object\calssobject.html", "HTML", 0, 0, 27, 0, 0, 0, 0, 0, 0, 27
"f:\assignments-java-traing\product-java-fullstack-training\JS\object\object.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"f:\assignments-java-traing\product-java-fullstack-training\JS\pattern\pat.html", "HTML", 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"f:\assignments-java-traing\product-java-fullstack-training\JS\polidrome\polin.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"f:\assignments-java-traing\product-java-fullstack-training\JS\polidrome\polindorm.html", "HTML", 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"f:\assignments-java-traing\product-java-fullstack-training\JS\polidrome\polistyle.css", "CSS", 0, 38, 0, 0, 0, 0, 0, 0, 2, 40
"f:\assignments-java-traing\product-java-fullstack-training\JS\practices\type.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"f:\assignments-java-traing\product-java-fullstack-training\JS\prime\prime.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\JS\prime\primelay.html", "HTML", 0, 0, 51, 0, 0, 0, 0, 3, 2, 56
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\angular.json", "JSON", 0, 0, 0, 99, 0, 0, 0, 0, 1, 100
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\mydatabase.json", "JSON", 0, 0, 0, 176, 0, 0, 0, 0, 2, 178
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\package-lock.json", "JSON", 0, 0, 0, 14743, 0, 0, 0, 0, 1, 14744
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\package.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.component.css", "CSS", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.component.html", "HTML", 0, 0, 73, 0, 0, 0, 0, 0, 5, 78
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 1, 6, 20
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\myapi.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\myapi.service.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 1, 8, 38
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product-project.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product-project.service.ts", "TypeScript", 0, 0, 0, 0, 0, 148, 0, 0, 16, 164
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\add\add.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\add\add.component.html", "HTML", 0, 0, 89, 0, 0, 0, 0, 0, 3, 92
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\add\add.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\add\add.component.ts", "TypeScript", 0, 0, 0, 0, 0, 63, 0, 1, 10, 74
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\cart\cart.component.css", "CSS", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\cart\cart.component.html", "HTML", 0, 0, 157, 0, 0, 0, 0, 0, 10, 167
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\cart\cart.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\cart\cart.component.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 9, 46
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\list\list.component.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\list\list.component.html", "HTML", 0, 0, 93, 0, 0, 0, 0, 0, 4, 97
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\list\list.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\list\list.component.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 6, 12, 52
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\product.module.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 6, 18
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\update\update.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\update\update.component.html", "HTML", 0, 0, 128, 0, 0, 0, 0, 1, 4, 133
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\update\update.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\update\update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 1, 8, 34
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\view\view.component.css", "CSS", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\view\view.component.html", "HTML", 0, 0, 96, 0, 0, 0, 0, 2, 3, 101
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\view\view.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\view\view.component.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 7, 58
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\app\product\working.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\index.html", "HTML", 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\tsconfig.app.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 2, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 30, 0, 0, 2, 1, 33
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\tsconfig.spec.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 2, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\angular.json", "JSON", 0, 0, 0, 99, 0, 0, 0, 0, 1, 100
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\package-lock.json", "JSON", 0, 0, 0, 14151, 0, 0, 0, 0, 1, 14152
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\package.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.html", "HTML", 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
